22:29:42.494 [ApplicationImpl pooled thread 18] INFO  com.browserstack.utils.Helpers - null
22:29:42.494 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:38:50.508 [ApplicationImpl pooled thread 43] INFO  c.b.l.BrowserStackRunExtension - testng
22:38:50.508 [ApplicationImpl pooled thread 43] INFO  com.browserstack.utils.Helpers - null
22:38:50.508 [ApplicationImpl pooled thread 43] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:42:49.757 [ApplicationImpl pooled thread 43] INFO  c.b.l.BrowserStackRunExtension - testng
22:42:49.757 [ApplicationImpl pooled thread 43] INFO  com.browserstack.utils.Helpers - null
22:42:49.761 [ApplicationImpl pooled thread 43] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:46:32.843 [ApplicationImpl pooled thread 43] INFO  c.b.l.BrowserStackRunExtension - testng
23:46:32.845 [ApplicationImpl pooled thread 43] INFO  com.browserstack.utils.Helpers - null
23:46:32.845 [ApplicationImpl pooled thread 43] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:48:58.707 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - testng
23:48:58.707 [ApplicationImpl pooled thread 55] INFO  com.browserstack.utils.Helpers - null
23:48:58.707 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:51:37.770 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - testng
23:51:37.771 [ApplicationImpl pooled thread 62] INFO  com.browserstack.utils.Helpers - null
23:51:37.773 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:40:06.409 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - testng
23:40:06.424 [ApplicationImpl pooled thread 27] INFO  com.browserstack.utils.Helpers - null
23:40:06.437 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
